pet_id,birth_day,age,gender,country,registration_date,housing_type,outdoor_space,family_type,hours_available,weekend_time,experience_level,training_ability,activity_level,noise_tolerance,budget_level,maintenance_tolerance,size_preference,grooming_tolerance,energy_preference,affection_preference,animal_type,breed
PET_016392,2025-08-26,1,Female,Japan,2026-05-29,apartment,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016349,2013-10-31,13,Male,Saudi Arabia,2014-06-21,house,garden,family_with_children,high,high,expert,high,high,low,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016030,2025-10-02,1,Male,United Kingdom,2026-05-16,house,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015671,2019-12-23,7,Female,Japan,2020-12-20,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,medium,medium,high,high,balanced,dog,Australian Shepherd
PET_016435,2018-06-30,8,Female,United Kingdom,2018-11-27,apartment,none,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016306,2024-10-29,2,Female,Saudi Arabia,2025-05-13,apartment,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016782,2015-02-04,11,Male,Saudi Arabia,2015-07-07,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015656,2018-10-25,8,Male,Japan,2019-01-21,house,garden,couple,high,high,expert,high,high,medium,medium,medium,medium,high,high,balanced,dog,Australian Shepherd
PET_015920,2018-11-26,8,Female,Canada,2019-11-06,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016573,2021-01-21,5,Female,Germany,2021-11-04,house,garden,couple,high,high,expert,high,high,high,medium,high,large,high,high,balanced,dog,Australian Shepherd
PET_015752,2025-03-03,1,Male,United States,2025-04-28,house,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016374,2019-02-14,7,Male,United Arab Emirates,2019-09-04,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016688,2016-01-22,10,Female,Canada,2016-03-30,house,none,couple,high,high,expert,high,high,medium,high,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016006,2025-10-29,1,Female,Japan,2026-05-05,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016093,2022-08-12,4,Female,Saudi Arabia,2023-01-19,house,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015728,2015-10-20,11,Male,Australia,2016-03-04,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015778,2020-04-20,6,Male,Germany,2020-10-03,apartment,balcony,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016445,2012-07-13,14,Male,United Kingdom,2013-04-18,house,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016610,2012-06-05,14,Male,Canada,2013-06-05,house,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015619,2014-06-16,12,Male,United Arab Emirates,2015-04-23,apartment,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016280,2016-02-07,10,Male,Japan,2016-12-22,apartment,large_yard,family_with_children,high,high,expert,high,high,medium,high,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015692,2013-04-07,13,Female,Japan,2013-08-22,apartment,garden,family_with_children,high,high,expert,high,high,medium,high,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016628,2023-11-16,3,Female,Japan,2024-05-01,apartment,garden,family_with_children,high,high,expert,low,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016687,2019-05-08,7,Female,Japan,2020-02-28,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015972,2024-04-13,2,Female,Saudi Arabia,2025-01-18,house,garden,couple,high,medium,intermediate,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016698,2016-05-14,10,Female,Japan,2017-01-25,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015654,2018-01-06,8,Male,United Arab Emirates,2018-05-04,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016240,2022-10-01,4,Female,Canada,2022-11-19,apartment,garden,family_with_children,high,high,expert,high,high,medium,high,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016177,2012-02-01,14,Male,Canada,2012-10-13,farm,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016724,2015-01-23,11,Male,Canada,2015-07-12,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016461,2017-11-11,9,Female,Saudi Arabia,2018-06-26,apartment,balcony,couple,high,high,expert,high,high,medium,high,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016126,2022-06-03,4,Female,Australia,2023-03-02,house,none,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016270,2015-03-30,11,Male,Canada,2015-10-04,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015990,2017-03-11,9,Female,Saudi Arabia,2017-05-11,house,garden,couple,high,high,expert,high,high,medium,medium,high,small,high,high,balanced,dog,Australian Shepherd
PET_015806,2018-11-01,8,Male,United Kingdom,2019-05-05,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015895,2019-05-11,7,Female,United Arab Emirates,2019-06-27,house,garden,family_with_children,high,high,expert,low,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015815,2020-07-11,6,Female,United Kingdom,2021-07-10,apartment,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,independent,dog,Australian Shepherd
PET_016258,2016-07-23,10,Female,United States,2017-02-13,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,medium,high,balanced,dog,Australian Shepherd
PET_015873,2012-01-24,14,Male,Saudi Arabia,2012-05-01,house,none,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016385,2025-10-20,1,Male,United Arab Emirates,2026-01-03,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015887,2016-11-13,10,Male,Australia,2017-08-04,house,none,family_with_children,high,high,expert,high,medium,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016492,2016-12-13,10,Male,Australia,2017-08-17,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016655,2022-10-24,4,Female,Saudi Arabia,2023-07-22,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,medium,high,balanced,dog,Australian Shepherd
PET_016066,2022-10-21,4,Male,Canada,2023-01-15,house,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015875,2017-12-24,9,Male,United States,2018-07-27,house,balcony,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016059,2013-01-31,13,Male,Germany,2013-11-03,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015757,2018-10-22,8,Female,United Kingdom,2019-08-06,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016746,2022-11-15,4,Male,Canada,2023-11-09,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015899,2012-12-18,14,Male,United Kingdom,2013-10-28,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015645,2019-04-04,7,Male,United Kingdom,2020-01-08,apartment,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016719,2014-05-27,12,Female,Germany,2015-01-12,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016563,2016-08-02,10,Female,United Kingdom,2017-04-11,house,balcony,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016134,2022-03-04,4,Female,United Arab Emirates,2022-10-20,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,low,high,balanced,dog,Australian Shepherd
PET_016497,2024-11-10,2,Female,Japan,2025-03-16,apartment,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,medium,high,balanced,dog,Australian Shepherd
PET_016490,2017-01-14,9,Female,Canada,2017-04-14,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015777,2012-11-12,14,Female,Australia,2013-02-28,house,balcony,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016587,2023-02-09,3,Male,United States,2023-12-23,apartment,large_yard,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015800,2019-03-25,7,Male,Australia,2020-03-11,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015735,2012-12-01,14,Female,Saudi Arabia,2013-01-14,house,large_yard,couple,high,high,expert,high,high,medium,medium,high,medium,low,high,balanced,dog,Australian Shepherd
PET_016656,2018-02-20,8,Female,Canada,2018-06-23,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,independent,dog,Australian Shepherd
PET_015607,2013-05-17,13,Female,United Arab Emirates,2013-10-23,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016109,2022-03-05,4,Female,United States,2022-12-24,apartment,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016394,2025-09-29,1,Female,Australia,2026-05-29,house,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015734,2023-03-12,3,Female,United Kingdom,2024-01-02,house,large_yard,family_with_children,high,high,expert,medium,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016440,2025-04-09,1,Male,United Arab Emirates,2025-09-30,house,none,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016165,2023-07-26,3,Female,Canada,2024-01-04,house,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016694,2021-07-01,5,Male,Australia,2022-02-09,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015870,2023-04-01,3,Female,Canada,2023-05-18,house,none,family_with_children,medium,low,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016510,2024-03-16,2,Male,United Kingdom,2024-10-04,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015743,2015-09-27,11,Female,Australia,2015-11-19,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016630,2020-08-15,6,Male,Canada,2021-02-06,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016287,2018-08-24,8,Female,Japan,2018-10-03,apartment,garden,alone,high,high,expert,high,high,medium,medium,high,medium,medium,high,balanced,dog,Australian Shepherd
PET_015603,2024-02-16,2,Female,United States,2024-10-04,house,garden,family_with_children,high,high,expert,high,high,medium,medium,low,medium,high,high,balanced,dog,Australian Shepherd
PET_015787,2019-08-26,7,Female,Germany,2020-03-03,house,large_yard,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016163,2022-09-13,4,Female,United Kingdom,2022-12-03,apartment,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,large,high,high,balanced,dog,Australian Shepherd
PET_015951,2013-01-06,13,Male,United States,2013-08-14,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,very_affectionate,dog,Australian Shepherd
PET_015630,2024-01-26,2,Female,Canada,2024-03-01,apartment,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015940,2014-04-30,12,Male,Japan,2015-04-21,house,garden,alone,high,high,expert,high,high,medium,medium,high,medium,medium,high,balanced,dog,Australian Shepherd
PET_015705,2017-01-06,9,Female,Saudi Arabia,2017-08-27,house,garden,family_with_children,low,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016324,2020-07-22,6,Male,Japan,2021-02-14,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016784,2018-01-29,8,Female,Canada,2018-05-15,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016040,2020-09-03,6,Male,Japan,2021-04-19,apartment,none,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016564,2017-01-13,9,Female,Saudi Arabia,2018-01-05,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016242,2023-08-31,3,Male,Germany,2023-11-20,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016121,2019-09-04,7,Male,Australia,2020-02-16,apartment,garden,couple,high,high,intermediate,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015982,2012-05-23,14,Male,Canada,2012-10-17,apartment,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,medium,high,balanced,dog,Australian Shepherd
PET_016566,2018-11-05,8,Male,Australia,2019-05-11,apartment,garden,couple,high,high,expert,medium,high,medium,medium,low,medium,high,high,balanced,dog,Australian Shepherd
PET_016751,2023-01-26,3,Male,United Arab Emirates,2023-10-25,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016365,2016-01-19,10,Female,Canada,2016-02-26,apartment,garden,family_with_children,medium,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016704,2019-10-07,7,Female,Japan,2020-06-22,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015698,2025-07-06,1,Female,United Kingdom,2026-05-14,apartment,balcony,family_with_children,high,high,expert,high,medium,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016642,2018-10-14,8,Female,Japan,2018-12-22,apartment,garden,family_with_children,high,high,expert,high,medium,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016790,2025-05-21,1,Female,Canada,2025-12-26,house,none,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015888,2019-05-06,7,Male,Saudi Arabia,2019-07-24,house,large_yard,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016226,2023-06-12,3,Female,Japan,2023-09-24,house,balcony,family_with_children,high,high,expert,high,high,low,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015904,2025-03-16,1,Male,United States,2025-06-28,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015809,2019-07-31,7,Female,Saudi Arabia,2019-11-18,house,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016783,2022-01-07,4,Male,Australia,2022-03-13,farm,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016531,2017-03-29,9,Female,Australia,2017-10-06,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016103,2022-01-05,4,Male,United Kingdom,2022-08-08,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016787,2023-08-28,3,Male,United States,2023-12-22,house,garden,family_with_children,high,high,expert,high,medium,medium,medium,high,medium,high,high,independent,dog,Australian Shepherd
PET_016738,2024-12-04,2,Female,Canada,2025-07-08,apartment,garden,family_with_children,high,medium,beginner,high,high,medium,medium,low,medium,high,high,balanced,dog,Australian Shepherd
PET_015739,2019-07-01,7,Male,Japan,2019-10-20,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016065,2025-11-12,1,Female,Germany,2026-02-27,apartment,garden,couple,high,high,expert,high,medium,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016612,2020-11-30,6,Male,United Arab Emirates,2021-07-16,apartment,garden,couple,high,high,expert,high,medium,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016315,2013-08-04,13,Male,Saudi Arabia,2014-01-24,house,balcony,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,independent,dog,Australian Shepherd
PET_016278,2025-02-22,1,Male,Australia,2025-10-01,apartment,balcony,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,very_affectionate,dog,Australian Shepherd
PET_015929,2022-10-18,4,Male,United Kingdom,2023-10-13,house,garden,family_with_children,low,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016441,2018-06-27,8,Male,Saudi Arabia,2018-08-30,apartment,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016341,2016-07-04,10,Male,Japan,2017-06-22,house,none,family_with_children,high,high,expert,high,high,medium,medium,high,medium,medium,high,balanced,dog,Australian Shepherd
PET_016218,2012-07-31,14,Female,Canada,2012-10-30,house,large_yard,couple,medium,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016520,2025-02-12,1,Male,Germany,2025-12-14,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016684,2023-07-25,3,Female,Australia,2024-06-29,house,balcony,couple,high,high,intermediate,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015793,2023-08-30,3,Female,Saudi Arabia,2024-04-13,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,medium,independent,dog,Australian Shepherd
PET_016727,2017-03-30,9,Female,United States,2018-01-28,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016791,2012-05-30,14,Female,United States,2012-09-20,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015790,2022-12-23,4,Female,Saudi Arabia,2023-07-29,apartment,garden,couple,high,high,expert,high,low,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016120,2013-07-14,13,Male,United Kingdom,2013-10-16,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016403,2021-11-21,5,Male,Australia,2022-09-16,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016253,2018-07-04,8,Male,United Kingdom,2019-06-14,house,none,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015773,2020-04-10,6,Male,United States,2020-10-03,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,medium,balanced,dog,Australian Shepherd
PET_015678,2019-01-12,7,Female,Germany,2019-09-30,house,balcony,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,independent,dog,Australian Shepherd
PET_016721,2022-08-20,4,Male,Germany,2023-04-14,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016166,2017-03-12,9,Female,Australia,2017-05-18,house,large_yard,couple,low,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016517,2015-03-07,11,Female,Canada,2015-06-02,farm,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016580,2014-05-16,12,Male,Canada,2014-07-15,house,none,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,independent,dog,Australian Shepherd
PET_016220,2023-10-08,3,Male,Canada,2024-04-29,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015857,2023-10-27,3,Female,United Arab Emirates,2024-03-25,apartment,garden,alone,high,high,beginner,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016555,2019-01-24,7,Male,United Arab Emirates,2020-01-21,apartment,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015641,2024-10-03,2,Male,Australia,2025-03-17,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016340,2016-04-02,10,Female,Japan,2016-10-17,apartment,garden,family_with_children,high,high,expert,high,high,medium,low,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015612,2012-06-22,14,Female,United Arab Emirates,2013-05-07,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,low,balanced,dog,Australian Shepherd
PET_016614,2022-10-11,4,Female,Japan,2023-01-15,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015632,2016-06-10,10,Female,Japan,2016-12-30,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,medium,balanced,dog,Australian Shepherd
PET_016378,2022-08-02,4,Female,Canada,2023-05-01,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016162,2014-06-14,12,Male,Saudi Arabia,2015-05-04,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015769,2020-08-01,6,Male,United Kingdom,2020-10-10,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015719,2018-04-13,8,Female,Saudi Arabia,2018-11-23,apartment,large_yard,couple,high,high,expert,medium,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016669,2013-08-19,13,Male,United Arab Emirates,2014-02-08,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016268,2013-03-17,13,Female,United Arab Emirates,2013-10-14,house,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016703,2020-12-29,6,Female,United States,2021-12-28,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016110,2020-09-08,6,Male,Germany,2021-08-17,house,garden,family_with_children,high,high,expert,high,high,high,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015760,2024-07-03,2,Female,United Arab Emirates,2024-12-19,house,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016370,2013-03-11,13,Female,United Kingdom,2013-07-08,apartment,none,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016058,2023-02-21,3,Female,Germany,2023-09-25,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016172,2015-02-26,11,Male,United Kingdom,2016-01-29,apartment,balcony,family_with_children,high,high,expert,high,high,medium,high,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016571,2018-04-13,8,Female,Saudi Arabia,2018-07-01,farm,garden,family_with_children,high,high,expert,high,medium,low,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016640,2015-07-08,11,Male,Saudi Arabia,2016-03-29,apartment,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016643,2025-04-29,1,Female,Saudi Arabia,2025-05-30,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016599,2014-08-03,12,Male,United Kingdom,2014-10-27,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016286,2013-06-06,13,Female,Saudi Arabia,2013-12-12,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016455,2015-05-01,11,Male,United Kingdom,2016-04-23,apartment,none,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016022,2014-02-12,12,Male,United States,2014-10-19,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015629,2024-11-06,2,Male,United Kingdom,2025-01-03,house,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015846,2020-01-08,6,Male,Canada,2020-07-21,apartment,large_yard,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,medium,balanced,dog,Australian Shepherd
PET_016320,2012-01-15,14,Female,United Kingdom,2012-03-28,apartment,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,medium,balanced,dog,Australian Shepherd
PET_015874,2019-12-16,7,Female,Germany,2020-10-10,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016024,2024-02-25,2,Female,Germany,2024-03-27,apartment,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016123,2018-06-15,8,Male,Canada,2019-03-19,apartment,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015970,2016-07-22,10,Female,United Kingdom,2016-12-11,apartment,garden,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015767,2012-10-11,14,Male,Japan,2013-02-01,house,garden,family_with_children,low,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016467,2025-03-21,1,Male,Canada,2026-01-22,apartment,garden,alone,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_016267,2015-11-23,11,Male,Australia,2016-01-05,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,independent,dog,Australian Shepherd
PET_015662,2024-12-09,2,Female,United Kingdom,2025-04-27,house,garden,couple,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
PET_015883,2014-02-16,12,Female,Saudi Arabia,2014-11-08,house,balcony,family_with_children,high,high,expert,high,high,medium,medium,high,medium,high,high,balanced,dog,Australian Shepherd
